,PID
0,300234066519040
1,300234068243970
2,300234068243460
4,300234066519050
5,300234068343310
6,300234068342290
7,300234068343830
8,300234068242460
9,300234068244510
10,300234066516000
11,300234068343840
12,300234066518050
13,300234068342820
14,300234066517030
15,300234068242470
16,300234066516010
17,300234068242990
18,300234068242480
19,300234066416690
20,300234066516020
21,300234068342840
22,300234066517050
23,300234066516030
24,300234068343360
25,300234066515010
26,300234068345410
27,300234068349510
28,300234066516040
29,300234068341840
30,300234066516050
31,300234068243540
32,300234068343380
33,300234066515030
34,300234068243550
35,300234066514020
36,300234066515050
37,300234068348010
38,300234066514030
39,300234066514040
40,300234068349560
41,300234068346490
42,300234068245630
43,300234066514050
44,300234066416770
45,300234066513030
46,300234068343430
47,300234068345480
48,300234068345990
49,300234066512010
50,300234066416780
51,300234068244620
52,300234066513040
53,300234068343440
54,300234068345490
55,300234068346000
56,300234068440210
58,300234068343450
59,300234068346010
60,300234066512030
61,300234066511010
62,300234068343970
63,300234066513060
64,300234068343460
65,300234066512040
66,300234068342440
67,300234066416810
68,300234066511020
69,300234066510000
70,300234066512050
71,300234068342970
72,300234068342460
73,300234066416830
74,300234068349630
75,300234066511040
76,300234066416840
77,300234068349640
78,300234066511050
79,300234068344010
80,300234068343500
81,300234066510030
82,300234066511060
83,300234068344020
84,300234068343510
85,300234068346580
86,300234066510040
87,300234068343000
88,300234068342490
89,300234068440280
90,300234066416860
91,300234066510050
92,300234068245220
93,300234066416870
94,300234068344040
95,300234068243690
96,300234066510060
97,300234068346610
98,300234068346100
99,300234068440310
100,300234068245240
101,300234068242680
102,300234068244730
103,300234068349690
104,300234068346620
105,300234068243710
106,300234068343550
107,300234068245250
108,300234068342020
109,300234068349700
110,300234068345610
111,300234068245260
112,300234068242700
113,300234068245270
114,300234068342550
115,300234066416410
116,300234068244250
117,300234068243230
118,300234068345630
119,300234068348190
120,300234066416930
121,300234068244260
122,300234068342570
123,300234068244270
124,300234068243250
125,300234068348210
126,300234068343610
127,300234068243260
128,300234068348220
129,300234068346690
130,300234068243270
131,300234068348230
132,300234068347720
133,300234068343630
134,300234068346190
135,300234068242260
136,300234068346200
137,300234068345690
138,300234068347740
139,300234068242270
140,300234068244830
141,300234068343650
142,300234068242790
143,300234068345710
144,300234068244850
145,300234068349810
146,300234068346740
147,300234068243830
148,300234068343670
149,300234068345210
150,300234068349820
151,300234068342660
152,300234068345220
153,300234068342150
154,300234068343690
155,300234068346250
156,300234068345740
157,300234068345230
158,300234068244880
159,300234066513300
160,300234068243860
161,300234068343190
162,300234068343700
163,300234068345240
164,300234068346260
165,300234068243870
166,300234068346270
167,300234068342690
168,300234068243880
169,300234068343210
170,300234068347820
171,300234068342190
172,300234068343730
173,300234068243890
174,300234068242870
175,300234068345270
176,300234068342720
177,300234068243910
178,300234068242890
179,300234068345290
180,300234068342220
181,300234068343250
182,300234068245460
183,300234068345300
184,300234066519000
185,300234068245470
186,300234068342750
187,300234066519010
188,300234068244450
189,300234068343270
190,300234068345830
191,300234068342250
192,300234068244970
193,300234066519020
194,300234068244460
195,300234068343280
196,300234068245490
197,300234068244980
198,300234068244470
199,300234068342270
3,300234068342280
57,300234066513050
